Archivo,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7
1.jpeg,3.1446919269121203,6.948433926662283,9.968624744112605,9.997970349038328,-9.999999999999998,-9.99999961218105,9.999999999999996
2.jpeg,2.828493229104999,5.758269091747438,9.322067893271527,9.440192540457176,9.999999999641414,9.998534802398986,-9.999999999979337
3.jpeg,3.023487702797164,6.303541994093788,9.935789953525356,9.970746953676741,9.999999999999682,9.999978708207314,-9.999999999999995
4.jpeg,2.9183576454053366,6.29531327777637,9.717516844485363,9.94352723880343,9.999999999998096,-9.999969460712421,9.999999999998998
