Archivo,Promedio R,Promedio G,Promedio B
1.jpeg,255.0,202.70565077277584,116.42325101539316
2.jpeg,255.0,162.563532352009,103.66337855461626
3.jpeg,255.0,141.65671143162425,116.73696291410945
4.jpeg,255.0,246.16364794266224,218.33065282155346
