Grupo,Hu_1,Promedio G,Promedio B
3,2.9742658208730086,0.9567919890393295,1.0
3,2.9684169604720814,0.9478573920668394,1.0
3,2.9582894886034232,0.9543104596935377,1.0
3,2.9694513854110305,0.925517264265211,1.0
3,2.979722912095931,0.9189687006428937,1.0
3,2.975278207424933,0.9783680236098333,1.0
3,2.975841574102528,0.9390014602998864,1.0
3,2.9937252993230343,0.9205054917742875,1.0
3,2.9690888014844625,0.9385527488740185,1.0
3,2.970515629691953,0.9537687980138263,1.0
3,2.978525849025049,0.9231112807787746,1.0
3,2.9645313610849198,0.9492262567007183,1.0
3,2.9786050103991086,0.9248084259522503,1.0
3,2.980185574465717,0.9273709002175853,1.0
3,2.9269821329187025,0.9188772593959953,1.0
3,2.978969778017724,0.9172155942798338,1.0
3,2.970831309523059,0.9457724062051183,1.0
2,2.950736899496049,0.5611939389395956,0.7353533744400922
2,2.9547596849803752,0.5935520578312798,0.7311704837609218
2,2.9518121542968645,0.5624566967928682,0.73283396716398
2,2.9509300488871357,0.5641898279447911,0.7310237503090594
2,2.9496494766097654,0.5457481644000725,0.7022361479591236
2,2.954256358178759,0.5030780859551488,0.6926432139714054
2,2.9637070457782007,0.5732764860535815,0.7378713090907392
2,2.9535874152674664,0.6044884249768907,0.7375827287566306
2,2.9439100236927707,0.5454704563762305,0.7007178069527872
2,2.951885491074397,0.5579935841957702,0.7224905550862609
2,2.9540044473345577,0.5958727980111671,0.7364929998317716
2,2.9549401796744985,0.5114581762064444,0.7046192404534538
2,2.8020841146237263,0.5367842329179583,0.707635737061347
2,2.951104565177303,0.5992017213048162,0.7384130345335468
2,2.958537906886066,0.5996827414293385,0.7316627994620397
2,2.947035196430808,0.6073987298063357,0.7510687336618269
2,2.947867717542868,0.4920400007469794,0.6818918187080991
0,3.1754607286682224,0.7842974885312184,0.6133698779255112
0,3.169112737681545,0.7854171690378589,0.6121680044093837
0,3.1763275261540325,0.7854405838392919,0.6201997425134648
0,3.17562790340842,0.781226626776365,0.6180972622318328
0,3.151602152069754,0.7892697797748527,0.6351518711992505
0,3.179744858673436,0.7823869507727979,0.6128825562144203
0,3.178698701321889,0.7903895987847377,0.6264557829207994
0,3.178032158109228,0.7793707046776183,0.6114385291641377
0,3.1780251217529365,0.7784385121406587,0.6129473535979401
0,3.1495493857461136,0.7802031267418073,0.6225795469267363
0,3.149481301763783,0.7735756188295894,0.6137673486907999
0,3.15055515820506,0.7681022871499987,0.6157918253166524
0,3.150367086640437,0.7696279594846589,0.6092772709691417
0,3.148891376993239,0.7684312675679295,0.6090817828938563
0,3.149037332072198,0.7727093340549805,0.6149138533703178
0,3.175330322646271,0.7815170368255555,0.6127547196745298
0,3.149554671061697,0.7754776353562655,0.6176007391386515
1,2.780980445122254,0.6607059102331805,0.5162036465610451
1,2.7228215159885347,0.622174045939796,0.4663376088211653
1,2.7213012970029182,0.6392971800689166,0.48917844457980586
1,2.711702308673765,0.6393721478238868,0.49541365508369434
1,2.7050304095751,0.6247488363304422,0.46473861679676176
1,2.710038631527942,0.6288375640353411,0.469628952526224
1,2.7023206880433226,0.6278091426101527,0.465109049946563
1,2.7165266724752763,0.6371372073121794,0.48650602176635255
1,2.721625018674443,0.6515981735159817,0.5160853853264981
1,2.709967497325529,0.6287265654018337,0.4716805465955076
1,2.746832599727296,0.6673543369169251,0.5304783161563975
1,2.71243142182116,0.6514654329325192,0.5080634539885724
1,2.704507580573091,0.6275598539000213,0.4660205092882194
1,2.7568607295314216,0.6493209123032445,0.4979762287182782
1,2.720927791737177,0.6546027687429105,0.5109953812505091
1,2.704903792674913,0.6076704754181781,0.44417081420567256
1,2.7416818303773987,0.6749296901366199,0.5321700436233642
